,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Sentiment,Sentiment_Polarity,Sentiment_Subjectivity
0,"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,174531,24M,10000000,Free,0,Everyone,Art & Design,"July 31, 2018",1.6.1,4.1 and up,Positive,0.2048395689349636,0.5360009824483508
1,"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,4.2,271920,16M,10000000,Free,0,Teen,Auto & Vehicles,"July 11, 2018",Varies with device,5.0 and up,Positive,0.2877923040754261,0.5447434959291718
2,Beauty Camera - Selfie Camera,BEAUTY,4.0,113715,Varies with device,10000000,Free,0,Everyone,Beauty,"August 3, 2017",Varies with device,Varies with device,Positive,0.1999936618165784,0.4508201058201058
3,Amazon Kindle,BOOKS_AND_REFERENCE,4.2,814080,Varies with device,100000000,Free,0,Teen,Books & Reference,"July 27, 2018",Varies with device,Varies with device,Positive,0.0651918671343387,0.4601174881982962
4,Amazon Kindle,BOOKS_AND_REFERENCE,4.2,814151,Varies with device,100000000,Free,0,Teen,Books & Reference,"July 27, 2018",Varies with device,Varies with device,Positive,0.0651918671343387,0.4601174881982962
5,Cool Reader,BOOKS_AND_REFERENCE,4.5,246315,Varies with device,10000000,Free,0,Everyone,Books & Reference,"July 17, 2015",Varies with device,1.5 and up,Positive,0.115840791609706,0.4773699162679426
6,Dictionary - Merriam-Webster,BOOKS_AND_REFERENCE,4.5,454060,Varies with device,10000000,Free,0,Everyone,Books & Reference,"May 18, 2018",Varies with device,Varies with device,Positive,0.2387310606060605,0.4623211279461279
7,Dictionary - Merriam-Webster,BOOKS_AND_REFERENCE,4.5,454412,Varies with device,10000000,Free,0,Everyone,Books & Reference,"May 18, 2018",Varies with device,Varies with device,Positive,0.2387310606060605,0.4623211279461279
8,FBReader: Favorite Book Reader,BOOKS_AND_REFERENCE,4.5,203130,Varies with device,10000000,Free,0,Everyone,Books & Reference,"June 28, 2018",Varies with device,Varies with device,Positive,0.2777048112144266,0.4724487336025797
9,HTC Help,BOOKS_AND_REFERENCE,4.2,8342,Varies with device,10000000,Free,0,Everyone,Books & Reference,"August 28, 2017",9.00.950462,7.0 and up,Positive,0.1068702125420875,0.3478900462962963
10,Google Primer,BUSINESS,4.4,62272,18M,10000000,Free,0,Everyone,Business,"June 26, 2018",3.550.2,4.1 and up,Positive,0.75,0.675
11,Facebook Pages Manager,BUSINESS,4.0,1279184,Varies with device,50000000,Free,0,Everyone,Business,"August 2, 2018",Varies with device,Varies with device,Negative,-0.0610827285459638,0.4408528562940327
12,Facebook Pages Manager,BUSINESS,4.0,1279800,Varies with device,50000000,Free,0,Everyone,Business,"August 6, 2018",Varies with device,Varies with device,Negative,-0.0610827285459638,0.4408528562940327
13,Box,BUSINESS,4.2,159872,Varies with device,10000000,Free,0,Everyone,Business,"July 31, 2018",Varies with device,Varies with device,Positive,0.4100005087505087,0.4350864875864875
14,Box,BUSINESS,4.2,159872,Varies with device,10000000,Free,0,Everyone,Business,"July 31, 2018",Varies with device,Varies with device,Positive,0.4100005087505087,0.4350864875864875
15,Box,BUSINESS,4.2,159872,Varies with device,10000000,Free,0,Everyone,Business,"July 31, 2018",Varies with device,Varies with device,Positive,0.4100005087505087,0.4350864875864875
16,Fast Scanner : Free PDF Scan,BUSINESS,4.5,103755,14M,10000000,Free,0,Everyone,Business,"July 11, 2018",3.9.2,4.1 and up,Positive,0.3130631605631605,0.4279001891501892
17,Fast Scanner : Free PDF Scan,BUSINESS,4.5,103755,14M,10000000,Free,0,Everyone,Business,"July 11, 2018",3.9.2,4.1 and up,Positive,0.3130631605631605,0.4279001891501892
18,Cisco Webex Meetings,BUSINESS,4.4,108741,28M,10000000,Free,0,Everyone,Business,"July 20, 2018",11.1.0,4.3 and up,Positive,0.1035770248270248,0.4623848528015195
19,Gmail,COMMUNICATION,4.3,4604324,Varies with device,1000000000,Free,0,Everyone,Communication,"August 2, 2018",Varies with device,Varies with device,Positive,0.0713831018518518,0.4659200872189153
20,Gmail,COMMUNICATION,4.3,4604483,Varies with device,1000000000,Free,0,Everyone,Communication,"August 2, 2018",Varies with device,Varies with device,Positive,0.0713831018518518,0.4659200872189153
21,Gmail,COMMUNICATION,4.3,4604324,Varies with device,1000000000,Free,0,Everyone,Communication,"August 2, 2018",Varies with device,Varies with device,Positive,0.0713831018518518,0.4659200872189153
22,Hangouts,COMMUNICATION,4.0,3419249,Varies with device,1000000000,Free,0,Everyone,Communication,"July 21, 2018",Varies with device,Varies with device,Positive,0.2515033286340852,0.5312487273123238
23,Hangouts,COMMUNICATION,4.0,3419433,Varies with device,1000000000,Free,0,Everyone,Communication,"July 21, 2018",Varies with device,Varies with device,Positive,0.2515033286340852,0.5312487273123238
24,Hangouts,COMMUNICATION,4.0,3419513,Varies with device,1000000000,Free,0,Everyone,Communication,"July 21, 2018",Varies with device,Varies with device,Positive,0.2515033286340852,0.5312487273123238
25,Hangouts,COMMUNICATION,4.0,3419464,Varies with device,1000000000,Free,0,Everyone,Communication,"July 21, 2018",Varies with device,Varies with device,Positive,0.2515033286340852,0.5312487273123238
26,Firefox Browser fast & private,COMMUNICATION,4.4,3075028,Varies with device,100000000,Free,0,Everyone,Communication,"July 10, 2018",Varies with device,Varies with device,Positive,0.1101420189894564,0.5187862517847506
27,Firefox Browser fast & private,COMMUNICATION,4.4,3075118,Varies with device,100000000,Free,0,Everyone,Communication,"July 10, 2018",Varies with device,Varies with device,Positive,0.1101420189894564,0.5187862517847506
28,Firefox Browser fast & private,COMMUNICATION,4.4,3075096,Varies with device,100000000,Free,0,Everyone,Communication,"July 10, 2018",Varies with device,Varies with device,Positive,0.1101420189894564,0.5187862517847506
29,Contacts,COMMUNICATION,4.3,66602,Varies with device,50000000,Free,0,Everyone,Communication,"June 26, 2018",2.8.4.201036949,5.0 and up,Positive,0.0122487102300894,0.4721338263866459
30,Browser 4G,COMMUNICATION,4.3,192948,6.6M,10000000,Free,0,Everyone,Communication,"June 19, 2018",24.6.6,4.0.3 - 7.1.1,Positive,0.3370836118538324,0.4429032976827094
31,Cricket Visual Voicemail,COMMUNICATION,3.9,13698,5.1M,10000000,Free,0,Everyone,Communication,"July 2, 2018",3.2.0.100171,4.1 and up,Positive,0.0620025918195561,0.4195424700960415
32,Google Voice,COMMUNICATION,4.2,171031,Varies with device,10000000,Free,0,Everyone,Communication,"August 3, 2018",Varies with device,Varies with device,Neutral,0.1524792850378787,0.1962215909090909
33,Google Voice,COMMUNICATION,4.2,171031,Varies with device,10000000,Free,0,Everyone,Communication,"August 3, 2018",Varies with device,Varies with device,Neutral,0.1524792850378787,0.1962215909090909
34,Google Voice,COMMUNICATION,4.2,171052,Varies with device,10000000,Free,0,Everyone,Communication,"August 3, 2018",Varies with device,Varies with device,Neutral,0.1524792850378787,0.1962215909090909
35,Android Messages,COMMUNICATION,4.2,781810,Varies with device,100000000,Free,0,Everyone,Communication,"August 1, 2018",Varies with device,Varies with device,Positive,0.071675937548939,0.5132160195532288
36,Android Messages,COMMUNICATION,4.2,781810,Varies with device,100000000,Free,0,Everyone,Communication,"August 1, 2018",Varies with device,Varies with device,Positive,0.071675937548939,0.5132160195532288
37,Google Duo - High Quality Video Calls,COMMUNICATION,4.6,2083237,Varies with device,500000000,Free,0,Everyone,Communication,"July 31, 2018",37.1.206017801.DR37_RC14,4.4 and up,Positive,0.2856898148148148,0.4979907407407407
38,Google Duo - High Quality Video Calls,COMMUNICATION,4.6,2083237,Varies with device,500000000,Free,0,Everyone,Communication,"July 31, 2018",37.1.206017801.DR37_RC14,4.4 and up,Positive,0.2856898148148148,0.4979907407407407
39,AT&T Visual Voicemail,COMMUNICATION,3.7,13761,Varies with device,10000000,Free,0,Everyone,Communication,"June 27, 2018",Varies with device,Varies with device,Positive,0.0299755411255411,0.4525938672438672
40,GMX Mail,COMMUNICATION,4.3,258556,Varies with device,10000000,Free,0,Everyone,Communication,"July 25, 2018",Varies with device,Varies with device,Positive,0.3400470779220779,0.5407398018648019
41,"GO SMS Pro - Messenger, Free Themes, Emoji",COMMUNICATION,4.4,2876500,24M,100000000,Free,0,Everyone,Communication,"August 1, 2018",7.73,4.0 and up,Positive,0.2024882756132756,0.4398316960816961
42,GroupMe,COMMUNICATION,4.5,330761,Varies with device,10000000,Free,0,Everyone,Communication,"July 3, 2018",Varies with device,Varies with device,Positive,0.1184400408619158,0.518137446598985
43,BBM - Free Calls & Messages,COMMUNICATION,4.3,12842860,Varies with device,100000000,Free,0,Everyone,Communication,"August 2, 2018",Varies with device,4.0.3 and up,Positive,0.1544232523738662,0.4618904521404521
44,BBM - Free Calls & Messages,COMMUNICATION,4.3,12843436,Varies with device,100000000,Free,0,Everyone,Communication,"August 2, 2018",Varies with device,4.0.3 and up,Positive,0.1544232523738662,0.4618904521404521
45,"CM Browser - Ad Blocker , Fast Download , Privacy",COMMUNICATION,4.6,2264916,6.1M,50000000,Free,0,Everyone,Communication,"July 31, 2018",5.22.18.0006,4.0 and up,Negative,0.0125,0.6875
46,"CM Browser - Ad Blocker , Fast Download , Privacy",COMMUNICATION,4.6,2265084,6.1M,50000000,Free,0,Everyone,Communication,"July 31, 2018",5.22.18.0006,4.0 and up,Negative,0.0125,0.6875
47,Contacts+,COMMUNICATION,4.2,190613,11M,10000000,Free,0,Everyone,Communication,"July 31, 2018",5.85.1,4.0.3 and up,Positive,0.4108145831994516,0.4530827603196025
48,ExDialer - Dialer & Contacts,COMMUNICATION,4.2,125232,2.7M,10000000,Free,0,Everyone,Communication,"March 5, 2017",196,2.1 and up,Positive,0.2713527987019366,0.4956886281403933
49,"CallApp: Caller ID, Blocker & Phone Call Recorder",COMMUNICATION,4.4,483565,20M,10000000,Free,0,Everyone,Communication,"July 29, 2018",1.286,4.1 and up,Positive,0.3907407407407408,0.5064814814814815
50,"CallApp: Caller ID, Blocker & Phone Call Recorder",COMMUNICATION,4.4,483782,20M,10000000,Free,0,Everyone,Communication,"July 29, 2018",1.286,4.1 and up,Positive,0.3907407407407408,0.5064814814814815
51,Calls Blacklist - Call Blocker,COMMUNICATION,4.5,457283,Varies with device,10000000,Free,0,Everyone,Communication,"May 24, 2018",Varies with device,Varies with device,Positive,0.1241623376623376,0.6151919191919192
52,GO Notifier,COMMUNICATION,4.2,124346,695k,10000000,Free,0,Everyone,Communication,"July 6, 2014",2.8,2.0 and up,Positive,0.0675195892751039,0.4230678104575163
53,"Chat Rooms, Avatars, Date - Galaxy",DATING,4.3,135418,Varies with device,10000000,Free,0,Mature 17+,Dating,"July 7, 2018",Varies with device,Varies with device,Positive,0.1380524855853803,0.4210644179723127
54,"Chat Rooms, Avatars, Date - Galaxy",DATING,4.3,135420,Varies with device,10000000,Free,0,Mature 17+,Dating,"July 7, 2018",Varies with device,Varies with device,Positive,0.1380524855853803,0.4210644179723127
55,Hitwe - meet people and chat,DATING,4.2,243950,21M,10000000,Free,0,Mature 17+,Dating,"May 10, 2018",4.3.2,4.1 and up,Negative,-0.1394560185185185,0.694104938271605
56,Duolingo: Learn Languages Free,EDUCATION,4.7,6289924,Varies with device,100000000,Free,0,Everyone,Education;Education,"August 1, 2018",Varies with device,Varies with device,Positive,0.200407738095238,0.4702147530324614
57,Duolingo: Learn Languages Free,EDUCATION,4.7,6290507,Varies with device,100000000,Free,0,Everyone,Education;Education,"August 1, 2018",Varies with device,Varies with device,Positive,0.200407738095238,0.4702147530324614
58,Duolingo: Learn Languages Free,EDUCATION,4.7,6290507,Varies with device,100000000,Free,0,Everyone,Education;Education,"August 1, 2018",Varies with device,Varies with device,Positive,0.200407738095238,0.4702147530324614
59,Duolingo: Learn Languages Free,EDUCATION,4.7,6290507,Varies with device,100000000,Free,0,Everyone,Education;Education,"August 1, 2018",Varies with device,Varies with device,Positive,0.200407738095238,0.4702147530324614
60,Duolingo: Learn Languages Free,FAMILY,4.7,6294400,Varies with device,100000000,Free,0,Everyone,Education;Education,"August 1, 2018",Varies with device,Varies with device,Positive,0.200407738095238,0.4702147530324614
61,Duolingo: Learn Languages Free,FAMILY,4.7,6294397,Varies with device,100000000,Free,0,Everyone,Education;Education,"August 1, 2018",Varies with device,Varies with device,Positive,0.200407738095238,0.4702147530324614
62,Duolingo: Learn Languages Free,FAMILY,4.7,6297590,Varies with device,100000000,Free,0,Everyone,Education;Education,"August 6, 2018",Varies with device,Varies with device,Positive,0.200407738095238,0.4702147530324614
63,Edmodo,EDUCATION,4.1,200058,18M,10000000,Free,0,Everyone,Education,"July 20, 2018",9.12.5,4.0.3 and up,Positive,0.4041555349412492,0.4435581323438466
64,Edmodo,FAMILY,4.1,200214,18M,10000000,Free,0,Everyone,Education,"August 6, 2018",9.12.6,4.0.3 and up,Positive,0.4041555349412492,0.4435581323438466
65,Hotstar,ENTERTAINMENT,4.3,4885646,Varies with device,100000000,Free,0,Teen,Entertainment,"August 3, 2018",Varies with device,Varies with device,Negative,0.0381778261730828,0.4939640988971346
66,BBC Media Player,ENTERTAINMENT,3.4,87384,Varies with device,10000000,Free,0,Everyone,Entertainment,"September 14, 2016",Varies with device,Varies with device,Positive,-0.0285198337542087,0.4376107804232804
67,Amazon Prime Video,ENTERTAINMENT,4.2,411683,24M,50000000,Free,0,Teen,Entertainment,"August 2, 2018",3.0.231.18141,4.1 and up,Positive,0.4611111111111111,0.5555555555555556
68,Fandango Movies - Times + Tickets,ENTERTAINMENT,4.6,243747,Varies with device,10000000,Free,0,Teen,Entertainment,"August 2, 2018",Varies with device,Varies with device,Positive,0.1426018885515638,0.5183011234796949
69,Fandango Movies - Times + Tickets,ENTERTAINMENT,4.6,243747,Varies with device,10000000,Free,0,Teen,Entertainment,"August 2, 2018",Varies with device,Varies with device,Positive,0.1426018885515638,0.5183011234796949
70,Crunchyroll - Everything Anime,ENTERTAINMENT,3.7,310066,Varies with device,10000000,Free,0,Teen,Entertainment,"March 5, 2018",Varies with device,Varies with device,Positive,0.1775100333694083,0.4448996244331065
71,Crunchyroll - Everything Anime,ENTERTAINMENT,3.7,310095,Varies with device,10000000,Free,0,Teen,Entertainment,"March 5, 2018",Varies with device,Varies with device,Positive,0.1775100333694083,0.4448996244331065
72,Crunchyroll - Everything Anime,ENTERTAINMENT,3.7,310066,Varies with device,10000000,Free,0,Teen,Entertainment,"March 5, 2018",Varies with device,Varies with device,Positive,0.1775100333694083,0.4448996244331065
73,HBO GO: Stream with TV Package,ENTERTAINMENT,3.8,87723,32M,10000000,Free,0,Teen,Entertainment,"July 19, 2018",16.0.0.437,4.1 and up,Negative,-0.0556527117201929,0.5216060351511479
74,HBO GO: Stream with TV Package,FAMILY,3.8,87734,32M,10000000,Free,0,Teen,Entertainment,"July 19, 2018",16.0.0.437,4.1 and up,Negative,-0.0556527117201929,0.5216060351511479
75,FOX,ENTERTAINMENT,3.7,197774,44M,10000000,Free,0,Mature 17+,Entertainment,"June 25, 2018",6.6.1,4.4 and up,Positive,0.2139840252340252,0.4584032017365351
76,FOX,ENTERTAINMENT,3.7,197774,44M,10000000,Free,0,Mature 17+,Entertainment,"June 25, 2018",6.6.1,4.4 and up,Positive,0.2139840252340252,0.4584032017365351
77,Colorfy: Coloring Book for Adults - Free,ENTERTAINMENT,4.5,787177,Varies with device,10000000,Free,0,Everyone,Entertainment,"June 20, 2018",Varies with device,Varies with device,Positive,0.0467848787911724,0.6042470514179697
78,Colorfy: Coloring Book for Adults - Free,FAMILY,4.5,787107,Varies with device,10000000,Free,0,Everyone,Entertainment,"June 20, 2018",Varies with device,Varies with device,Positive,0.0467848787911724,0.6042470514179697
79,Credit Karma,FINANCE,4.7,706301,Varies with device,10000000,Free,0,Everyone,Finance,"July 31, 2018",Varies with device,Varies with device,Positive,0.2700516800659658,0.5196421459492888
80,Credit Karma,FINANCE,4.7,706302,Varies with device,10000000,Free,0,Everyone,Finance,"July 31, 2018",Varies with device,Varies with device,Positive,0.2700516800659658,0.5196421459492888
81,Credit Karma,FINANCE,4.7,706618,Varies with device,10000000,Free,0,Everyone,Finance,"July 31, 2018",Varies with device,Varies with device,Positive,0.2700516800659658,0.5196421459492888
82,Google Pay,FINANCE,4.2,347838,Varies with device,100000000,Free,0,Everyone,Finance,"July 26, 2018",2.70.206190089,Varies with device,Positive,0.1156874860995739,0.5077741771354409
83,Google Pay,FINANCE,4.2,347838,Varies with device,100000000,Free,0,Everyone,Finance,"July 26, 2018",2.70.206190089,Varies with device,Positive,0.1156874860995739,0.5077741771354409
84,Google Pay,FINANCE,4.2,347874,Varies with device,100000000,Free,0,Everyone,Finance,"July 26, 2018",2.70.206190089,Varies with device,Positive,0.1156874860995739,0.5077741771354409
85,Google Pay,FINANCE,4.2,348132,Varies with device,100000000,Free,0,Everyone,Finance,"July 26, 2018",2.70.206190089,Varies with device,Positive,0.1156874860995739,0.5077741771354409
86,Bank of America Mobile Banking,FINANCE,4.4,341090,53M,10000000,Free,0,Everyone,Finance,"July 31, 2018",7.8.8,4.4 and up,Positive,0.1800268291975881,0.4850038651824366
87,Chase Mobile,FINANCE,4.6,1374549,32M,10000000,Free,0,Everyone,Finance,"July 23, 2018",3.52,5.0 and up,Positive,0.0481659967017109,0.488717625876108
88,HDFC Bank MobileBanking,FINANCE,4.2,208463,Varies with device,10000000,Free,0,Everyone,Finance,"July 26, 2018",Varies with device,Varies with device,Positive,0.1114486703772417,0.5096762265512265
89,Domino's Pizza USA,FOOD_AND_DRINK,4.7,1032935,Varies with device,10000000,Free,0,Everyone,Food & Drink,"July 20, 2018",Varies with device,Varies with device,Positive,0.2090786415933821,0.5032287457102147
90,Domino's Pizza USA,FOOD_AND_DRINK,4.7,1032935,Varies with device,10000000,Free,0,Everyone,Food & Drink,"July 20, 2018",Varies with device,Varies with device,Positive,0.2090786415933821,0.5032287457102147
91,Cookpad,FOOD_AND_DRINK,4.5,131569,8.2M,10000000,Free,0,Everyone,Food & Drink,"August 3, 2018",2.76.2.0-android,4.2 and up,Positive,0.2574367684784351,0.5483966650633317
92,Foursquare City Guide,FOOD_AND_DRINK,4.1,483960,Varies with device,10000000,Free,0,Teen,Food & Drink,"July 23, 2018",Varies with device,Varies with device,Positive,0.2002786796536796,0.4222157802514945
93,Home Workout - No Equipment,HEALTH_AND_FITNESS,4.8,428156,15M,10000000,Free,0,Everyone,Health & Fitness,"June 28, 2018",Varies with device,Varies with device,Positive,0.3383518564768565,0.5552208555333555
94,Home Workout - No Equipment,HEALTH_AND_FITNESS,4.8,432160,15M,10000000,Free,0,Everyone,Health & Fitness,"June 28, 2018",Varies with device,Varies with device,Positive,0.3383518564768565,0.5552208555333555
95,30 Day Fitness Challenge - Workout at Home,HEALTH_AND_FITNESS,4.8,471036,Varies with device,10000000,Free,0,Everyone,Health & Fitness,"August 3, 2018",Varies with device,4.0 and up,Positive,0.3335368733928641,0.5585879078678617
96,Fitbit,HEALTH_AND_FITNESS,3.9,357417,Varies with device,10000000,Free,0,Everyone,Health & Fitness,"July 26, 2018",Varies with device,Varies with device,Positive,0.2455546536796536,0.5822820466570467
97,Calorie Counter - MyFitnessPal,HEALTH_AND_FITNESS,4.6,1873516,Varies with device,50000000,Free,0,Everyone,Health & Fitness,"July 31, 2018",Varies with device,Varies with device,Positive,0.2165226236966217,0.474814114742441
98,Calorie Counter - MyFitnessPal,HEALTH_AND_FITNESS,4.6,1873523,Varies with device,50000000,Free,0,Everyone,Health & Fitness,"July 31, 2018",Varies with device,Varies with device,Positive,0.2165226236966217,0.474814114742441
99,Calorie Counter - MyFitnessPal,HEALTH_AND_FITNESS,4.6,1873520,Varies with device,50000000,Free,0,Everyone,Health & Fitness,"July 31, 2018",Varies with device,Varies with device,Positive,0.2165226236966217,0.474814114742441
100,Calorie Counter - MyFitnessPal,HEALTH_AND_FITNESS,4.6,1873520,Varies with device,50000000,Free,0,Everyone,Health & Fitness,"July 31, 2018",Varies with device,Varies with device,Positive,0.2165226236966217,0.474814114742441
101,Calorie Counter - MyFitnessPal,HEALTH_AND_FITNESS,4.6,1873523,Varies with device,50000000,Free,0,Everyone,Health & Fitness,"July 31, 2018",Varies with device,Varies with device,Positive,0.2165226236966217,0.474814114742441
102,8fit Workouts & Meal Planner,HEALTH_AND_FITNESS,4.6,115721,67M,10000000,Free,0,Everyone,Health & Fitness,"July 11, 2018",3.5.0,5.0 and up,Positive,0.2648642413061273,0.5346484758473062
103,8fit Workouts & Meal Planner,HEALTH_AND_FITNESS,4.6,115721,67M,10000000,Free,0,Everyone,Health & Fitness,"July 11, 2018",3.5.0,5.0 and up,Positive,0.2648642413061273,0.5346484758473062
104,7 Minute Workout,HEALTH_AND_FITNESS,4.5,399009,Varies with device,10000000,Free,0,Everyone,Health & Fitness,"June 8, 2018",Varies with device,Varies with device,Positive,0.4102777777777777,0.6212481962481963
105,Freeletics: Personal Trainer & Fitness Workouts,HEALTH_AND_FITNESS,4.5,130104,25M,10000000,Free,0,Everyone,Health & Fitness,"August 3, 2018",5.3,5.0 and up,Positive,0.2742506820436508,0.4637062872023809
106,Daily Workouts - Exercise Fitness Routine Trainer,HEALTH_AND_FITNESS,4.4,134195,Varies with device,10000000,Free,0,Everyone,Health & Fitness,"June 14, 2018",Varies with device,Varies with device,Positive,0.8,0.75
107,Google Fit - Fitness Tracking,HEALTH_AND_FITNESS,3.9,249855,Varies with device,10000000,Free,0,Everyone,Health & Fitness,"July 24, 2018",Varies with device,Varies with device,Positive,0.1300530303030303,0.4778642676767677
108,Headspace: Meditation & Mindfulness,HEALTH_AND_FITNESS,4.6,77563,39M,10000000,Free,0,Everyone,Health & Fitness,"July 23, 2018",3.6.4,4.2 and up,Positive,0.2270075757575757,0.4214772727272727
109,Headspace: Meditation & Mindfulness,HEALTH_AND_FITNESS,4.6,77563,39M,10000000,Free,0,Everyone,Health & Fitness,"July 23, 2018",3.6.4,4.2 and up,Positive,0.2270075757575757,0.4214772727272727
110,Aviary Stickers: Free Pack,LIBRARIES_AND_DEMO,3.5,126862,624k,10000000,Free,0,Everyone,Libraries & Demo,"January 17, 2012",1.0,2.2 and up,Positive,0.0658285525785526,0.6725140465140466
111,Diary with lock,LIFESTYLE,4.6,815893,4.4M,10000000,Free,0,Everyone,Lifestyle,"June 30, 2018",4.90,4.1 and up,Positive,0.2837633405132804,0.568277521195691
112,Diary with lock,LIFESTYLE,4.6,815280,4.4M,10000000,Free,0,Everyone,Lifestyle,"June 30, 2018",4.90,4.1 and up,Positive,0.2837633405132804,0.568277521195691
113,Family Locator - GPS Tracker,LIFESTYLE,4.4,726074,45M,10000000,Free,0,Everyone,Lifestyle,"August 2, 2018",16.7.1,4.4 and up,Positive,0.3585753523851349,0.5448769579856536
114,HTC Speak,LIFESTYLE,3.5,6145,13M,10000000,Free,0,Everyone,Lifestyle,"June 30, 2016",8.00.775375,5.0 and up,Positive,0.0041057206682206,0.3343441435108102
115,H&M,LIFESTYLE,3.7,41941,14M,10000000,Free,0,Everyone,Lifestyle,"July 30, 2018",9.6.3,4.4 and up,Positive,0.0244729564521231,0.5764898448231781
116,H&M,LIFESTYLE,3.7,41917,14M,10000000,Free,0,Everyone,Lifestyle,"July 30, 2018",9.6.3,4.4 and up,Positive,0.0244729564521231,0.5764898448231781
117,Candy Crush Saga,GAME,4.4,22426677,74M,500000000,Free,0,Everyone,Casual,"July 5, 2018",1.129.0.2,4.1 and up,Negative,0.0310678654100529,0.4562927910052909
118,Candy Crush Saga,GAME,4.4,22428456,74M,500000000,Free,0,Everyone,Casual,"July 5, 2018",1.129.0.2,4.1 and up,Negative,0.0310678654100529,0.4562927910052909
119,Candy Crush Saga,GAME,4.4,22428456,74M,500000000,Free,0,Everyone,Casual,"July 5, 2018",1.129.0.2,4.1 and up,Negative,0.0310678654100529,0.4562927910052909
120,Candy Crush Saga,GAME,4.4,22429716,74M,500000000,Free,0,Everyone,Casual,"July 5, 2018",1.129.0.2,4.1 and up,Negative,0.0310678654100529,0.4562927910052909
121,Candy Crush Saga,GAME,4.4,22430188,74M,500000000,Free,0,Everyone,Casual,"July 5, 2018",1.129.0.2,4.1 and up,Negative,0.0310678654100529,0.4562927910052909
122,Candy Crush Saga,GAME,4.4,22430188,74M,500000000,Free,0,Everyone,Casual,"July 5, 2018",1.129.0.2,4.1 and up,Negative,0.0310678654100529,0.4562927910052909
123,Candy Crush Saga,FAMILY,4.4,22419455,74M,500000000,Free,0,Everyone,Casual,"July 5, 2018",1.129.0.2,4.1 and up,Negative,0.0310678654100529,0.4562927910052909
